Region of World,Country,State,Name,Type,Grade
North America,USA,Alaska,Mean and Nasty,Unknown,5.11b
North America,USA,Alaska,Scotch,Unknown,5.9
North America,USA,Alaska,Limp Hangover,Unknown,5.8
North America,USA,Alaska,Whiskey,Unknown,5.8
North America,USA,Alaska,Progression,Unknown,5.10a
North America,USA,Alaska,Promised Land,Unknown,5.10b
North America,USA,Alaska,Code Red-Left,Unknown,5.10a
North America,USA,Alaska,Code Red,Unknown,5.10d
North America,USA,Alaska,Salsa Brava,Unknown,5.10c
North America,USA,Alaska,Blockhead,Unknown,5.10d
North America,USA,Alaska,Indian Crack,Unknown,5.9
North America,USA,Alaska,Marksalot,Unknown,5.10c
North America,USA,Alaska,Dynamo Hum,Unknown,5.11a
North America,USA,Alaska,Crisco Kid,Unknown,5.10c
North America,USA,Alaska,Icky Thump,Unknown,5.11a
North America,USA,Alaska,Black Puddin',Unknown,5.11c
North America,USA,Alaska,Spotted Dick,Unknown,5.12b
North America,USA,Alaska,Hungry Time,Unknown,5.10a
North America,USA,Alaska,Crossover,Unknown,5.10a
North America,USA,Alaska,Family Matters,Unknown,5.7
North America,USA,Alaska,Members Only,Unknown,5.10a
North America,USA,Alaska,Bushwacker,Unknown,5.10b
North America,USA,Alaska,Hard Man,Unknown,5.11d
North America,USA,Alaska,Big Sky,Unknown,5.11b
North America,USA,Alaska,Twist and Shout,Unknown,5.11a
North America,USA,Alaska,On Your Celtic Way,Unknown,5.11c
North America,USA,Alaska,Snizzle,Unknown,5.9
North America,USA,Alaska,Vanity Fair,Unknown,5.10a
North America,USA,Alaska,Not Worth The Trouble,Unknown,5.11b
North America,USA,Alaska,Ono Mono Peeya,Unknown,5.12a
North America,USA,Alaska,The Truth of the Matter,Unknown,5.12b
North America,USA,Alaska,Last Rage,Unknown,5.12a
North America,USA,Alaska,Use Enough Gun,Unknown,5.12a
